continue-button-text,general,OK,OK,OK,D'accord,OK,
close-button-text,general,Close,Cerrar,Schließen,Fermer,Dichtbij,
general-footer,general,Click the button below or press <b>ANY KEY</b> to continue,Haz clic en el botón abajo o presiona <b>CUALQUIER TECLA</b> para continuar,"Klicke auf die Fläche unten oder drücke eine Beliebige Taste, um fortzufahren",Clique sur le bouton ci-dessous ou appuie sur <b>N'IMPORTE QUELLE TOUCHE</b> pour continuer,Klik op de onderstaande knop of druk op <b>ELKE TOETS</b> om door te gaan,
instructions,general,instructions,instrucciones,Anweisungen,instructions,instructies,
general-encourage,general,Keep Going!,¡Continúa!,Weiter so!,Continuez !,Blijf doorgaan!,
feedbackCorrect,general,Great! That's right.,¡Genial! Eso es correcto.,Großartig! Das ist richtig.,Super ! C'est ça.,Geweldig! Dat klopt.,
feedback-not-quite-right,general,That's not quite right. Please try again.,Eso no está del todo bien. ¡Inténtalo de nuevo!,Das stimmt nicht ganz. Versuch es noch einmal!,That's not quite right. Please try again.,That's not quite right. Please try again.,
feedback-try-again,general,Please try again!,¡Inténtalo de nuevo!,Versuch es noch einmal!,Veuillez essayer à nouveau !,Probeer het opnieuw!,
feedback-good-job,general,Good job!,¡Bien hecho!,Gut gemacht!,Bien joué !,Goed gedaan!,
feedback-nice-work,general,Nice work!,¡Muy bien!,Sehr gut!,Bon travail !,Goed gedaan!,
replay-button,general,Press the speaker button if you want the question repeated.,Presiona el botón del altavoz si deseas que se repita la pregunta.,"Klick auf die Wiederholungstaste, wenn du die Frage nochmal hören willst.",Appuie sur le bouton haut-parleur si tu veux que la question soit répétée.,Druk op de luidsprekerknop als u de vraag wilt herhalen.,
general-fullscreen,general,Switch to full screen mode,Cambiar al modo de pantalla completa,Bitte wechsle in den Vollbildmodus.,Passer en mode plein écran,Overschakelen naar volledig scherm,
general-repeat-instructions,general,Looks like this is a little tricky! Let’s review the instructions.,¡Parece que esto es un poco complicado! Repasemos las instrucciones.,"Das ist ganz schön knifflig! Wir schauen uns nochmal genau an, wie das Spiel geht!",Cela semble un peu compliqué ! Révisons les instructions.,Het lijkt erop dat dit een beetje lastig is! Laten we de instructies nog eens bekijken.,
general-keyboard-instructions,general,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.","Si quieres usar el teclado para responder una pregunta, haz click en la flecha que ves al lado de la opción que quieres seleccionar.","Wenn du zum beantworten einer Frage deine Tastatur nutzen möchtest, dann drück einfach die Pfeiltaste auf der Seite, die du wählen möchtest.","Si tu veux utiliser ton clavier pour répondre à une question, appuie sur la touche fléchée indiquée à côté de ton choix.","Als u uw toetsenbord wilt gebruiken om een vraag te beantwoorden, drukt u op de pijltjestoets naast uw keuze.",
intro-finished,general,You've finished the instructions. Thank you!,Has terminado las instrucciones. ¡Gracias!,Das war die Spielanleitung. Vielen Dank!,Tu as terminé les instructions. Merci !,Je hebt de instructies voltooid. Bedankt!,
general-exit,general,Exit,Salir,Spiel verlassen.,Quitter,Uitgang,
task-completion,general,You've completed this game. Thank you!,Has completado el juego. ¡Gracias!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,You've completed this game. Thank you!,You've completed this game. Thank you!,
general-your-turn,general,Nice job with the practice! Let's try some more on your own.,¡Buen trabajo en la práctica! Ahora intenta hacer unos ensayos por tu cuenta.,Das Üben hat schonmal super geklappt! Jetzt kannst du es nochmal alleine versuchen. ,Nice job with the practice! Let's try some more on your own.,Nice job with the practice! Let's try some more on your own.,
matrix-reasoning-instruct1,matrix-reasoning,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,"Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!","Nous allons te montrer un puzzle, et ton travail est de choisir la meilleure pièce pour compléter le puzzle. Commençons !","We gaan je een puzzel laten zien, en jouw taak is om het beste stukje te kiezen om de puzzel compleet te maken. Laten we beginnen!",
matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,Vois ce grand puzzle ? Il manque une pièce ! Quelle pièce va dans le puzzle ?,Zie je deze grote puzzel? Er mist een stukje! Welk stukje hoort in de puzzel?,
matrix-reasoning-prompt1,matrix-reasoning,Choose the best pattern to fill in the blank.,Escoge el mejor patrón para llenar el espacio en blanco.,"Wähle das beste Muster, um die Lücke zu füllen.",Choisis le meilleur motif pour remplir le vide.,Kies het beste patroon om de ontbrekende informatie in te vullen.,
mental-rotation,mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.,"Siehst du diese beiden Schatten? Einer passt zu der Form. Lass uns schauen, welcher zur Form passt.",Tu vois ces deux contours ? L'un va avec cette forme. Voyons lequel va avec la forme. EDIT EDIT.,Zie je deze twee contouren? Eén past bij deze vorm. Laten we eens kijken welke bij de vorm past.,
mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Veamos si esta figura va con la silueta. Esta figura no va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.",Voyons si cette forme va avec le contour. Cette forme ne va pas avec le contour.,Laten we eens kijken of deze vorm bij de omtrek past. Deze vorm past niet bij de omtrek.,
mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the outline. This shape does go with the outline.,Veamos si esta figura va con la silueta. Esta figura sí va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.",Voyons si cette forme va avec le contour. Cette forme va avec le contour.,Laten we eens kijken of deze vorm bij de omtrek past. Deze vorm past bij de omtrek.,
mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the outline?,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la silueta?","Jetzt bist du dran! Kannst du die Form finden, die zum Schatten passt?",À toi de jouer ! Peux-tu trouver la forme qui va avec le contour ?,Probeer het nu maar! Kun jij de vorm vinden die bij de omtrek hoort?,
mental-rotation-instruct-3D,mental-rotation,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,Ahora verás unas imágenes de bloques que tienen tres lados. Tu tarea es elegir la imagen que coincide.,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen.  Deine Aufgabe ist es, das passende Bild auszuwählen.","Maintenant, tu verras des images montrant des blocs avec trois côtés. Ta tâche est de choisir l'image correspondante.",Nu ziet u afbeeldingen die blokken met drie zijden tonen. Uw taak is om de bijpassende afbeelding te kiezen.,
mental-rotation-prompt2,mental-rotation,Choose the picture that matches this one.,Escoge la imagen que coincida con esta.,"Wähle das Bild aus, das hierzu passt.",Choisis l'image qui correspond à celle-ci.,Kies de afbeelding die hierbij past.,
mental-rotation-prompt1,mental-rotation,Choose the matching picture.,Escoge la imagen que coincide.,Wähle das passende Bild aus.,Choisissez l'image correspondante.,Kies de bijpassende afbeelding.,
math-instructions1,math,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","En este juego, harás algunos problemas de matemáticas. Algunos serán como los que haces en la escuela y otros serán un poco diferentes de los que haces en la escuela. 

Algunas preguntas te resultarán fáciles y otras difíciles. ¡No pasa nada! Esfuérzate al máximo y tómate tu tiempo. La mayoría de las preguntas tienen cuatro opciones. Elige la que consideres correcta. ¡Empecemos!","In diesem Spiel wirst du einige mathematische Aufgaben lösen. Einige sind wie die, die du in der Schule machst, und einige sind etwas anders als die, die du in der Schule machst. 

Einige Fragen könnten leicht für dich sein und einige könnten schwer sein. Das ist nicht schlimm! Bitte gib dein Bestes und nimm dir Zeit. Bei den meisten Fragen gibt es vier Auswahlmöglichkeiten. Du wählst die aus, die du für richtig hältst. Los geht's!","In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!",
math-intro1,math,Here is the first section of the game. Let's start with some practice!,Esta es la primera sección. ¡Empecemos a practicar!,Hier kommt der erste Teil. Am Anfang üben wir erstmal nur.,Here is the first section. Let's start with some practice!,Here is the first section. Let's start with some practice!,
math-intro2,math,Here is another section. The first few are for practice.,Esta es otra sección. Las primeras son para practicar.,Jetzt kommt der nächste Teil. Die ersten paar sind wieder zum Üben.,Here is another section. The first few are for practice.,Here is another section. The first few are for practice.,
math-intro-fractions,math,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,En esta sección a veces tienes que sumar y a veces tienes que restar. Fíjate bien en el signo de suma o resta. Los primeros son para practicar.,"In diesem Teil musst du manchmal addieren und manchmal subtrahieren. Schau also genau, ob da ein Plus oder ein Minus steht. Die ersten paar sind wieder zum Üben.",In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,
number-comparison-prompt1,math,Which number is larger?,¿Cuál número es mayor?,Welche Zahl ist größer?,Quel nombre est plus grand ?,Welk getal is groter?,
number-comparison-prompt2,math,Which is larger?,¿Cuál es mayor?,Welche ist größer?,Lequel est plus grand ?,Welke is groter?,
number-identification-prompt1,math,Choose the number you hear.,Escoge el número cuando lo escuches.,"Wähle die Zahl, die du hörst.",Choisis le numéro que tu entends.,Kies het nummer dat je hoort.,
missing-number-prompt1,math,What number goes in the blank?,¿Cuál número va en el espacio en blanco?,Welche Zahl gehört in die Lücke?,Quel nombre va dans l'espace vide ?,Welk getal moet er op de lege plek komen?,
missing-number-prompt2,math,What number goes here?,¿Cuál número va aquí?,Welche Zahl gehört hierher?,Quel nombre va ici ?,Welk getal hoort hier?,
missing-number-prompt3,math,What numbers go in the blanks?,¿Cuál números van en los espacios en blanco?,Welche Zahlen gehören in die Lücken?,What numbers go in the blanks?,What numbers go in the blanks?,
addition-prompt1,math,Add the numbers and choose the correct answer.,Suma los números y escoge la respuesta correcta.,Addiere die Zahlen und wähle die richtige Antwort.,Ajoute les chiffres et choisis la réponse correcte.,Tel de getallen op en kies het juiste antwoord.,
addition-prompt2,math,Add the numbers.,Suma los números.,Addiere die Zahlen. ,Ajoute les chiffres.,Tel de getallen op.,
subtraction-prompt1,math,Subtract the numbers and choose the correct answer.,Resta los números y escoge la respuesta correcta.,Ziehe die Zahlen ab und wähle die richtige Antwort.,Soustrais les chiffres et choisis la réponse correcte.,Trek de getallen van elkaar af en kies het juiste antwoord.,
subtraction-prompt2,math,Subtract the numbers.,Resta los números.,Ziehe die Zahlen ab. ,Soustrais les chiffres.,Trek de getallen van elkaar af.,
multiplication-prompt1,math,Multiply the numbers and choose the correct answer.,Multiplica los números y escoge la respuesta correcta.,Multipliziere die Zahlen und wähle die richtige Antwort.,Multiplie les chiffres et choisis la réponse correcte.,Vermenigvuldig de getallen en kies het juiste antwoord.,
multiplication-prompt2,math,Multiply the numbers.,Multiplica los números.,Multipliziere die Zahlen. ,Multiplie les chiffres.,Vermenigvuldig de getallen.,
number-line-instruct1,math,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,Aquí tienes una recta numérica. Sobre ella hay un marcador que tu puedes mover hacia la derecha o izquierda. Tu debes ubicar este marcador en el lugar de la recta donde estaría ubicado el número que te indicará cada ejercicio. Asegúrate de revisar bien cuáles son los números de los extremos de la recta antes de decidir dónde ubicar el marcador. ,"Hier ist eine Zahlenreihe. Du kannst den Schieber vorwärts und rückwärts entlang der Linie bewegen. Ändere den Schieber so, dass er sich an der richtigen Stelle befindet, um zu zeigen, wo die Zahl hingehört. Achte darauf, dass du die Zahlen an beiden Enden ansiehst, wenn du entscheidest, wohin du den Schieber platzierst. ",Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,
number-line-prompt1,math,Choose the number that is marked on the number line.,Escoge el número que está marcado en la recta numérica.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.",Choisis le chiffre qui est marqué sur la ligne numérique.,Kies het getal dat op de getallenlijn staat.,
number-line-slider-prompt1,math,Move the slider to mark the number.,Ubica el marcador sobre la recta numérica para marcar el lugar del número.,Bewege den Schieber auf die angegebene Zahl.,Move the slider to mark the number.,Move the slider to mark the number.,
number-identification-1,math,Choose the number 1.,Escoge el número 1.,Wähle die Zahl Eins.,Choisis le numéro 1.,Kies het getal 1.,
number-identification-2,math,Choose the 2.,Escoge el 2.,Wähle die Zwei.,Choisis le 2.,Kies de 2.,
number-identification-3,math,Choose the 9.,Escoge el 9.,Wähle die Neun.,Choisis le 9.,Kies de 9.,
number-identification-4,math,Choose the 0.,Escoge el 0.,Wähle die Null.,Choisis le 0.,Kies de 0.,
number-identification-5,math,Choose the 12.,Escoge el 12.,Wähle die Zwölf.,Choisis le 12.,Kies de 12.,
number-identification-6,math,Choose the 30.,Escoge el 30.,Wähle die Dreißig.,Choisis le 30.,Kies de 30.,
number-identification-7,math,Choose the 22.,Escoge el 22.,Wähle die  Zweiundzwanzig.,Choisis le 22.,Kies de 22.,
number-identification-8,math,Choose the 45.,Escoge el 45.,Wähle die  Fünfundvierzig.,Choisis le 45.,Kies de 45.,
number-identification-9,math,Choose the 39.,Escoge el 39.,Wähle die  Neununddreißig.,Choisis le 39.,Kies de 39.,
number-identification-10,math,Choose the 23.,Escoge el 23.,Wähle die  Dreiundzwanzig.,Choisis le 23.,Kies de 23.,
number-identification-11,math,Choose the 48.,Escoge el 48.,Wähle die  Achtundvierzig.,Choisis le 48.,Kies de 48.,
number-identification-12,math,Choose the 91.,Escoge el 91.,Wähle die  91.,Choisis le 91.,Kies de 91.,
number-identification-13,math,Choose the 33.,Escoge el 33.,Wähle die  Dreiunddreißig.,Choisis le 33.,Kies de 33.,
number-identification-14,math,Choose the 74.,Escoge el 74.,Wähle die  Vierundsiebzig.,Choisis le 74.,Kies de 74.,
number-identification-15,math,Choose the 87.,Escoge el 87.,Wähle die  Siebenundachzig.,Choisis le 87.,Kies de 87.,
number-identification-16,math,Choose the 65.,Escoge el 65.,Wähle die  65.,Choisis le 65.,Kies de 65.,
number-identification-17,math,Choose the 108.,Escoge el 108.,Wähle die  Einhundertacht.,Choisis le 108.,Kies de 108.,
number-identification-18,math,Choose the 245.,Escoge el 245.,Wähle die  Zweihundertfünfundvierzig.,Choisis le 245.,Kies de 245.,
number-identification-19,math,Choose the 587.,Escoge el 587.,Wähle die  Fünfhundertsiebenundachzig.,Choisis le 587.,Kies de 587.,
number-identification-20,math,Choose the 731.,Escoge el 731.,Wähle die  Siebenhunderteinunddreißig.,Choisis le 731.,Kies de 731.,
number-identification-21,math,Choose the 989.,Escoge el 989. ,Wähle die  Neunhundertneunundachzig.,Choisis le 989.,Kies de 989.,
number-identification-22,math,Choose the 6.,Escoge el 6.,Wähle die sechs.,Choisis le 6.,Choose the 6.,
number-identification-23,math,Choose the 14.,Escoge el 14.,Wähle die vierzehn.,Choisis le 14.,Choose the 14.,
number-identification-24,math,Choose the 18.,Escoge el 18.,Wähle die achtzehn.,Choisis le 18.,Choose the 18.,
number-identification-25,math,Choose the 26.,Escoge el 26.,Wähle die sechsundzwanzig.,Choisis le 26.,Choose the 26.,
number-identification-26,math,Choose the 35.,Escoge el 35.,Wähle die fünfunddreißig.,Choisis le 35.,Choose the 35.,
number-identification-27,math,Choose the 41.,Escoge el 41.,Wähle die einundvierzig.,Choisis le 41.,Choose the 41.,
number-identification-28,math,Choose the 47.,Escoge el 47.,Wähle die siebenundvierzig.,Choisis le 47.,Choose the 47.,
number-identification-29,math,Choose the 50.,Escoge el 50.,Wähle die fünfzig.,Choisis le 50.,Choose the 50.,
number-identification-30,math,Choose the 55.,Escoge el 55.,Wähle die fünfundfünfzig.,Choisis le 55.,Choose the 55.,
number-identification-31,math,Choose the 66.,Escoge el 66.,Wähle die sechsundsechzig.,Choisis le 66.,Choose the 66.,
number-identification-32,math,Choose the 67.,Escoge el 67.,Wähle die siebenundsechzig.,Choisis le 67.,Choose the 67.,
number-identification-33,math,Choose the 88.,Escoge el 88.,Wähle die achtundachtzig.,Choisis le 88.,Choose the 88.,
number-identification-34,math,Choose the 101.,Escoge el 101.,Wähle die einhunderteins.,Choisis le 101.,Choose the 101.,
number-identification-35,math,Choose the 426.,Escoge el 426.,Wähle die vierhundertsechsundzwanzig.,Choisis le 426.,Choose the 426.,
number-identification-36,math,Choose the 131.,Escoge el 131.,Wähle die einhunderteinunddreißig.,Choisis le 131.,Choose the 131.,
number-identification-37,math,Choose the 256.,Escoge el 256.,Wähle die zweihundertsechsundfünfzig.,Choisis le 256.,Choose the 256.,
number-identification-38,math,Choose the 349.,Escoge el 349.,Wähle die dreihundertneunundvierzig.,Choisis le 349.,Choose the 349.,
number-identification-39,math,Choose the 543.,Escoge el 543.,Wähle die fünfhundertdreiundvierzig.,Choisis le 543.,Choose the 543.,
number-identification-40,math,Choose the 617.,Escoge el 617.,Wähle die sechshundertsiebzehn.,Choisis le 617.,Choose the 617.,
number-identification-41,math,Choose the 877.,Escoge el 877. ,Wähle die achthundertsiebenundsiebzig.,Choisis le 877.,Choose the 877.,
trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú eliges la imagen que va con las palabras que yo diga. ¡Empecemos!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!",Nous allons maintenant jouer à un jeu d'association ! Je vais dire quelques mots et tu choisirais l'image qui correspond à ce que je dis. Commençons !,Nu gaan we een match-spel spelen! Ik ga wat woorden zeggen en jij kiest de afbeelding die bij wat ik zeg past. Laten we beginnen!,
trog-prompt1,trog,Choose the picture of the...,Escoge el dibujo del...,Berühre das Bild mit dem/der/den...,Choisissez l'image du...,Kies de foto van de...,
trog-prompt2,trog,Choose the picture of...,Escoge el dibujo de...,Berühre das Bild mit...,Choisissez l'image de...,Kies de foto van...,
trog-prompt3,trog,Choose the picture that shows...,Escoge el dibujo que muestra...,Berühre das Bild was folgendes zeigt:,Choisissez l'image qui montre...,Kies de afbeelding die het volgende toont...,
trog-item-1,trog,Choose the picture of the shoe.,Escoge el dibujo del zapato.,Wähle das Bild mit dem Schuh.,Choisis l'image de la chaussure.,Kies de afbeelding van de schoen.,
trog-item-2,trog,Choose the picture of the bird.,Escoge el dibujo del pájaro.,Wähle das Bild mit dem Vogel.,Choisis l'image de l'oiseau.,Kies de afbeelding van de vogel.,
trog-item-3,trog,Choose the picture of the comb.,Escoge el dibujo del peine.,Wähle das Bild mit dem Kamm.,Choisis l'image du peigne.,Kies de afbeelding van de kam.,
trog-item-4,trog,Choose the picture of the apple.,Escoge el dibujo de la manzana.,Wähle das Bild mit dem Apfel.,Choisis l'image de la pomme.,Kies de afbeelding van de appel.,
trog-item-5,trog,Choose the picture that shows eating.,Escoge el dibujo que muestra comiendo.,"Wähle das Bild aus, das jemanden beim essen zeigt.",Choisissez l'image qui montre manger.,Kies de afbeelding waarop eten te zien is.,
trog-item-6,trog,Choose the picture that shows picking.,Escoge el dibujo que muestra recogiendo.,"Wähle das Bild aus, das zeigt, wie jemand etwas pflückt.",Choisissez l'image qui montre ramasser.,Selecteer de afbeelding waarop het plukken wordt getoond.,
trog-item-7,trog,Choose the picture that shows sitting.,Escoge el dibujo que muestra sentado.,"Wähle das Bild aus, das zeigt, wie jemand sitzt.",Choisissez l'image qui montre une personne assise.,Kies de afbeelding waarop een zittende persoon te zien is.,
trog-item-8,trog,Choose the picture that shows running.,Escoge el dibujo que muestra corriendo.,"Wähle das Bild aus, das zeigt, wie jemand rennt.",Choisissez l'image qui montre la course.,Kies de afbeelding waarop hardlopen te zien is.,
trog-item-9,trog,Choose the picture that shows long.,Escoge el dibujo que muestra largo.,"Wähle das Bild aus, das etwas Langes zeigt.",Choisissez l'image qui montre longue.,Kies de afbeelding die het langst wordt weergegeven.,
trog-item-10,trog,Choose the picture that shows tall.,Escoge el dibujo que muestra alto.,"Wähle das Bild aus, das etwas Großes zeigt.",Choisissez l'image qui montre grande.,Kies de afbeelding die hoog is.,
trog-item-11,trog,Choose the picture that shows red.,Escoge el dibujo que muestra el rojo.,"Wähle das Bild aus, das etwas Rotes zeigt.",Choisissez l'image qui montre rouge.,Kies de afbeelding met de rode kleur.,
trog-item-12,trog,Choose the picture that shows black.,Escoge el dibujo que muestra el negro.,"Wähle das Bild aus, das etwas Schwarzes zeigt.",Choisissez l'image qui montre noire.,Kies de afbeelding die zwart is.,
trog-item-13,trog,the boy is running,el niño está corriendo,der Junge rennt.,le garçon court,de jongen rent,
trog-item-14,trog,the big cup,la taza grande,die große Tasse.,la grande tasse,de grote beker,
trog-item-15,trog,the dog is sitting,el perro está sentado,der Hund sitzt.,le chien est assis,de hond zit,
trog-item-16,trog,the red ball,la pelota roja,der rote Ball.,la balle rouge,de rode bal,
trog-item-17,trog,the boy is not running,el niño no está corriendo,der Junge rennt nicht.,le garçon ne court pas,de jongen rent niet,
trog-item-18,trog,the dog is not drinking,el perro no está bebiendo,der Hund trinkt nicht.,le chien ne boit pas,de hond drinkt niet,
