,item_id,labels,en,es-CO,de,context
13,feedback-try-again,general,Please try again!,¡Inténtalo de nuevo!,Versuch es noch einmal!,"feedback-try-again
Final es-co & de translation review complete"
14,feedback-good-job,general,Good job!,¡Bien hecho!,Gut gemacht!,"feedback-good-job
Final es-co & de translation review complete"
15,feedback-nice-work,general,Nice work!,¡Muy bien!,Sehr gut!,"feedback-nice-work
Final es-co & de translation review complete"
16,replay-button,general,Press the speaker button if you want the question repeated.,Presiona el botón del altavoz si deseas que se repita la pregunta.,"Klick auf die Wiederholungstaste, wenn du die Frage nochmal hören willst.","replay-button
Final es-co translation review complete.
For DE confirm ""repeat button"" translation is specific enough"
17,general-fullscreen,general,Switch to full screen mode,Cambiar al modo de pantalla completa,Wechseln Sie in den Vollbildmodus,"general-fullscreen
Final es-co & de translation review complete"
18,general-repeat-instructions,general,Looks like this is a little tricky! Let’s review the instructions.,¡Parece que esto es un poco complicado! Repasemos las instrucciones.,"Sieht so aus, als wäre das etwas knifflig! Sehen wir uns die Anweisungen noch einmal an.","general-repeat-instructions
"
19,general-keyboard-instructions,general,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.","Si quieres usar el teclado para responder una pregunta, haz click en la flecha que ves al lado de la opción que quieres seleccionar.","Wenn Sie Ihre Tastatur zum Beantworten einer Frage verwenden möchten, drücken Sie die Pfeiltaste neben Ihrer Auswahl.","general-keyboard-instructions
"
20,intro-finished,general,You've finished the instructions. Thank you!,Has terminado las instrucciones. ¡Gracias!,Sie haben die Anleitung beendet. Ich danke Ihnen!,"intro-finished
"
21,general-exit,general,Exit,Salir,Exit,"general-exit
Final es-co & de translation review complete"
22,task-completion,general,You've finished this game. Thank you!,Has terminado este juego. ¡Gracias!,You've finished this game. Thank you!,"task-completion
Final es-co & de translation review complete"
23,matrix-reasoning-instruct1,matrix-reasoning,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,"Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!","matrix-reasoning-instruct1
Es-co complete, de still needs review."
24,matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,"matrix-reasoning-instruct2
Es-co complete, de still needs review."
25,matrix-reasoning-prompt1,matrix-reasoning,Choose the best pattern to fill in the blank.,Escoge el mejor patrón para llenar el espacio en blanco.,"Wähle das beste Muster, um die Lücke zu füllen.","matrix-reasoning-prompt1
Es-co complete, de still needs review."
26,mental-rotation,mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.,"Siehst du diese beiden Schatten? Einer passt zu der Form. Lass uns schauen, welcher zur Form passt.","mental-rotation
Final es-co & de translation review complete"
27,mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Veamos si esta figura va con la silueta. Esta figura no va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.","mental-rotation-training-instruct2
Final es-co & de translation review complete"
28,mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the outline. This shape does go with the outline.,Veamos si esta figura va con la silueta. Esta figura sí va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.","mental-rotation-training-instruct3
Final es-co & de translation review complete"
29,mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the outline?,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la silueta?","Jetzt bist du dran! Kannst du die Form finden, die zum Schatten passt?","mental-rotation-test-instruct4
Final es-co & de translation review complete"
30,mental-rotation-instruct-3D,mental-rotation,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,Ahora verás imágenes que muestran bloques con tres lados. Tu tarea es elegir la imagen que coincide.,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen. Deine Aufgabe ist es, das passende Bild auszuwählen.","mental-rotation-instruct-3D
"
31,mental-rotation-prompt2,mental-rotation,Choose the picture that matches this one.,Escoge la imagen que coincida con esta.,"Wähle das Bild aus, das zu diesem Bild passt.","mental-rotation-prompt2
Final es-co & de translation review complete"
32,mental-rotation-prompt1,mental-rotation,Choose the matching picture.,Escoge la imagen que coincide.,Wähle das passende Bild aus.,"mental-rotation-prompt1
Final es-co & de translation review complete"
33,math-instructions1,math,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","En este juego, harás algunos problemas de matemáticas. Algunos serán como los que haces en la escuela y otros serán un poco diferentes de los que haces en la escuela. Algunas preguntas te resultarán fáciles y otras difíciles. ¡No pasa nada! Esfuérzate al máximo y tómate tu tiempo. La mayoría de las preguntas tienen cuatro opciones. Eliges la que consideres correcta. ¡Empecemos!","In diesem Spiel wirst du einige mathematische Aufgaben lösen. Einige sind wie die, die du in der Schule machst, und einige sind etwas anders als die, die du in der Schule machst. Einige Fragen könnten leicht für dich sein und einige könnten schwer sein. Das ist nicht schlimm! Bitte gib dein Bestes und nimm dir Zeit. Bei den meisten Fragen gibt es vier Auswahlmöglichkeiten. Du wählst die aus, die du für richtig hältst. Los geht's!","math-instructions1
Es-co complete, de still needs review."
34,number-comparison-prompt1,"math, number-comparison",Which number is larger?,¿Cuál número es mayor?,Welche Zahl ist größer?,"number-comparison-prompt1
Es-co complete, de still needs review."
35,number-comparison-prompt2,"math, number-comparison",Which is larger?,¿Cuál es mayor?,Welche ist größer?,"number-comparison-prompt2
Es-co complete, de still needs review."
36,number-identification-prompt1,"math, number-identification",Choose the number you hear.,Escoge el número cuando lo escuches.,"Wähle die Zahl, die du hörst.","number-identification-prompt1
Es-co complete, de still needs review."
37,missing-number-prompt1,"math, missing-number",What number goes in the blank?,¿Cuál número va en el espacio en blanco?,Welche Zahl gehört in die Lücke?,"missing-number-prompt1
Es-co complete, de still needs review."
38,missing-number-prompt2,"math, missing-number",What number goes here?,¿Cuál número va aquí?,Welche Zahl gehört hierher?,"missing-number-prompt2
Es-co complete, de still needs review."
39,addition-prompt1,"math, addition",Add the numbers and choose the correct answer.,Suma los números y elige la respuesta correcta.,Addiere die Zahlen und wähle die richtige Antwort.,"addition-prompt1
Es-co complete, de still needs review."
40,addition-prompt2,"math, addition",Add the numbers.,Suma los números.,Addiere die Zahlen. ,"addition-prompt2
Es-co complete, de still needs review."
41,subtraction-prompt1,"math, subtraction",Subtract the numbers and choose the correct answer.,Resta los números y elige la respuesta correcta.,Ziehe die Zahlen ab und wähle die richtige Antwort.,"subtraction-prompt1
Es-co complete, de still needs review."
42,subtraction-prompt2,"math, subtraction",Subtract the numbers.,Resta los números.,Ziehe die Zahlen ab. ,"subtraction-prompt2
Es-co complete, de still needs review."
43,multiplication-prompt1,"math, multiplication",Multiply the numbers and choose the correct answer.,Multiplica los números y elige la respuesta correcta.,Multipliziere die Zahlen und wähle die richtige Antwort.,"multiplication-prompt1
Es-co complete, de still needs review."
44,multiplication-prompt2,"math, multiplication",Multiply the numbers.,Multiplica los números.,Multipliziere die Zahlen. ,"multiplication-prompt2
Es-co complete, de still needs review."
45,number-line-instruct1,math,Here is a number line. You can move the red line forward and backward along the black line. Move the red line so it is in the right place to show where the number would fit. Make sure you look at the numbers at each end when deciding where to move the red line.,Aquí tienes una recta numérica. Mira qué números están en los extremos. Puedes mover la barra roja hacia delante y hacia atrás a lo largo de la línea negra. Pon la barra roja en el lugar del número indicado.,"Hier ist eine Zahlenreihe. Du kannst die rote Linie vorwärts und rückwärts entlang der schwarzen Linie verschieben. Verschiebe die rote Linie so, dass sie sich an der richtigen Stelle befindet, um zu zeigen, wo die Zahl hingehört. Achte darauf, dass du die Zahlen an beiden Enden ansiehst, wenn du entscheidest, wohin du die rote Linie verschiebst.","number-line-instruct1
Es-co complete, de still needs review."
46,number-line-prompt1,"math, number-line-4AFC",Choose the number that is marked on the number line.,Elige el número que está marcado en la línea recta de números.,,"number-line-prompt1
Es-co complete, de still needs review."
47,number-line-slider-prompt1,math,Move the red line to mark the number.,Pon la barra roja sobre la linea recta en el lugar del número indicado.,Bewege den Schieberegler auf die angegebene Zahl.,"number-line-slider-prompt1
Es-co complete, de still needs review."
48,number-identification-1,"math, number-identification",Choose the number 1.,Elige el número 1.,Wähle die Zahl 1.,"number-identification-1
Es-co complete, de still needs review."
49,number-identification-2,"math, number-identification",Choose the 2.,Elige el 2.,,"number-identification-2
Es-co complete, de still needs review."
50,number-identification-3,"math, number-identification",Choose the 9.,Elige el 9.,Wähle die 9.,"number-identification-3
Es-co complete, de still needs review."
51,number-identification-4,"math, number-identification",Choose the 0.,Elige el 0.,Wähle die 0.,"number-identification-4
Es-co complete, de still needs review."
52,number-identification-5,"math, number-identification",Choose the 12.,Elige el 12.,Wähle die 12.,"number-identification-5
Es-co complete, de still needs review."
53,number-identification-6,"math, number-identification",Choose the 30.,Elige el 30.,Wähle die 30.,"number-identification-6
Es-co complete, de still needs review."
54,number-identification-7,"math, number-identification",Choose the 22.,Elige el 22.,Wähle die 22.,"number-identification-7
Es-co complete, de still needs review."
55,number-identification-8,"math, number-identification",Choose the 45.,Elige el 45.,Wähle die 45.,"number-identification-8
Es-co complete, de still needs review."
56,number-identification-9,"math, number-identification",Choose the 39.,Elige el 39.,Wähle die 39.,"number-identification-9
Es-co complete, de still needs review."
57,number-identification-10,"math, number-identification",Choose the 23.,Elige el 23.,Wähle die 23.,"number-identification-10
Es-co complete, de still needs review."
58,number-identification-11,"math, number-identification",Choose the 48.,Elige el 48.,Wähle die 48.,"number-identification-11
Es-co complete, de still needs review."
59,number-identification-12,"math, number-identification",Choose the 91.,Elige el 91.,Wähle die 91.,"number-identification-12
Es-co complete, de still needs review."
60,number-identification-13,"math, number-identification",Choose the 33.,Elige el 33.,,"number-identification-13
Es-co complete, de still needs review."
61,number-identification-14,"math, number-identification",Choose the 74.,Elige el 74.,,"number-identification-14
Es-co complete, de still needs review."
62,number-identification-15,"math, number-identification",Choose the 87.,Elige el 87.,Wähle die 87.,"number-identification-15
Es-co complete, de still needs review."
63,number-identification-16,"math, number-identification",Choose the 65.,Elige el 65.,Wähle die 65.,"number-identification-16
Es-co complete, de still needs review."
64,number-identification-17,"math, number-identification",Choose the 108.,Elige el 108.,Wähle die 108.,"number-identification-17
Es-co complete, de still needs review."
65,number-identification-18,"math, number-identification",Choose the 245.,Elige el 245.,,"number-identification-18
Es-co complete, de still needs review."
66,number-identification-19,"math, number-identification",Choose the 587.,Elige el 587.,Wähle die 587.,"number-identification-19
Es-co complete, de still needs review."
67,number-identification-20,"math, number-identification",Choose the 731.,Elige el 731.,Wähle die 731.,"number-identification-20
Es-co complete, de still needs review."
68,number-identification-21,"math, number-identification",Choose the 989.,Elige el 989. ,,"number-identification-21
Es-co complete, de still needs review."
69,trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú tocarás la imagen que va con las palabras que yo diga. ¡Empecemos!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich sage ein paar Worte, und du berührst das Bild, das zu dem passt, was ich sage. Bist du bereit?","trog-instruct1
Es-co complete, de still needs review."
70,trog-prompt1,trog,Choose the picture of the...,Elige la imagen del...,Berühre das Bild mit dem/der/den...,"trog-prompt1
Es-co complete, de still needs review."
71,trog-prompt2,trog,Choose the picture of...,Elige la imagen de...,Berühre das Bild mit...,"trog-prompt2
Es-co complete, de still needs review."
72,trog-prompt3,trog,Choose the picture that shows...,Elige la imagen que muestra...,,"trog-prompt3
Es-co complete, de still needs review."
73,trog-item-1,trog,Choose the picture of the shoe.,Elige la imagen del zapato.,,"trog-item-1
Es-co complete, de still needs review."
74,trog-item-2,trog,Choose the picture of the bird.,Elige la imagen del pájaro.,Wähle das Bild mit dem Vogel.,"trog-item-2
Es-co complete, de still needs review."
75,trog-item-3,trog,nan,Elige la imagen del peine.,Wähle das Bild mit dem Kamm.,"trog-item-3
Es-co complete, de still needs review."
76,trog-item-4,trog,nan,Elige la imagen de la manzana.,Wähle das Bild mit dem Apfel.,"trog-item-4
Es-co complete, de still needs review."
77,trog-item-5,trog,nan,Elige la imagen que muestra comiendo.,,"trog-item-5
Es-co complete, de still needs review."
78,trog-item-6,trog,nan,Elige la imagen que muestra recogiendo.,"Wähle das Bild aus, das zeigt, wie jemand pflückt.","trog-item-6
Es-co complete, de still needs review."
79,trog-item-7,trog,nan,Elige la imagen que muestra sentado.,"Wähle das Bild aus, das zeigt, wie jemand sitzt.","trog-item-7
Es-co complete, de still needs review."
80,trog-item-8,trog,nan,Elige la imagen que muestra corriendo.,"Wähle das Bild aus, das zeigt, wie jemand läuft.","trog-item-8
Es-co complete, de still needs review."
81,trog-item-9,trog,nan,Elige la imagen que muestra largo.,,"trog-item-9
Es-co complete, de still needs review."
82,trog-item-10,trog,nan,Elige la imagen que muestra alto.,"Wähle das Bild aus, das etwas großes zeigt.","trog-item-10
Es-co complete, de still needs review."
83,trog-item-11,trog,nan,Elige la imagen que muestra el rojo.,,"trog-item-11
Es-co complete, de still needs review."
84,trog-item-12,trog,nan,Elige la imagen que muestra el negro.,"Wähle das Bild aus, das etwas schwarzes zeigt.","trog-item-12
Es-co complete, de still needs review."
85,trog-item-13,trog,nan,el niño está corriendo,der Junge rennt.,"trog-item-13
Es-co complete, de still needs review."
86,trog-item-14,trog,nan,la taza grande,die große Tasse.,"trog-item-14
Es-co complete, de still needs review."
87,trog-item-15,trog,nan,el perro está sentado,der Hund sitzt.,"trog-item-15
Es-co complete, de still needs review."
88,trog-item-16,trog,nan,la pelota roja,der rote Ball.,"trog-item-16
Es-co complete, de still needs review."
89,trog-item-17,trog,nan,el niño no está corriendo,der Junge rennt nicht.,"trog-item-17
Es-co complete, de still needs review."
90,trog-item-18,trog,nan,el perro no está bebiendo,der Hund trinkt nicht.,"trog-item-18
Es-co complete, de still needs review."
91,trog-item-19,trog,nan,la niña no está saltando,das Mädchen hüpft nicht.,"trog-item-19
Es-co complete, de still needs review."
92,trog-item-20,trog,nan,el perro no está sentado,der Hund sitzt nicht.,"trog-item-20
Es-co complete, de still needs review."
93,trog-item-21,trog,nan,el niño salta por encima de la caja,der Junge springt über den Kasten. ,"trog-item-21
Es-co complete, de still needs review."
94,trog-item-22,trog,nan,la niña está sentada encima de la mesa,das Mädchen sitzt auf dem Tisch.,"trog-item-22
Es-co complete, de still needs review."
95,trog-item-23,trog,nan,el hombre se está comiendo una manzana,,"trog-item-23
Es-co complete, de still needs review."
96,trog-item-24,trog,nan,la señora está llevando la bolsa,die Frau trägt eine Tasche.,"trog-item-24
Es-co complete, de still needs review."
97,trog-item-25,trog,nan,están sentadas encima de la mesa,sie sitzen auf dem Tisch.,"trog-item-25
Es-co complete, de still needs review."
98,trog-item-26,trog,nan,la vaca está mirándolas,,"trog-item-26
Es-co complete, de still needs review."
99,trog-item-27,trog,nan,están saltando por encima de la pared,sie springen über die Mauer.,"trog-item-27
Es-co complete, de still needs review."
100,trog-item-28,trog,nan,el elefante está llevandolos,der Elefant trägt sie,"trog-item-28
Es-co complete, de still needs review."
101,trog-item-29,trog,nan,la niña está empujando al caballo,das Mädchen schiebt das Pferd,"trog-item-29
Es-co complete, de still needs review."
102,trog-item-30,trog,nan,el niño persigue a la oveja,der Junge jagt das Schaf,"trog-item-30
Es-co complete, de still needs review."
103,trog-item-31,trog,nan,el hombre persigue al perro,,"trog-item-31
Es-co complete, de still needs review."
104,trog-item-32,trog,nan,la vaca está empujando a la señora,,"trog-item-32
Es-co complete, de still needs review."
105,trog-item-33,trog,nan,ella está sentada en la silla,sie sitzt auf dem Stuhl.,"trog-item-33
Es-co complete, de still needs review."
106,trog-item-34,trog,nan,la señora lo está cargando,die Dame trägt ihn,"trog-item-34
Es-co complete, de still needs review."
107,trog-item-35,trog,nan,él está sentado en el árbol,er sitzt auf dem Baum,"trog-item-35
Es-co complete, de still needs review."
108,trog-item-36,trog,nan,el caballo la está mirando,das Pferd sieht sie an,"trog-item-36
Es-co complete, de still needs review."
109,trog-item-37,trog,nan,los gatos miran la pelota,die Katzen schauen auf den Ball,"trog-item-37
Es-co complete, de still needs review."
110,trog-item-38,trog,nan,el niño se para encima de las sillas,der Junge steht auf den Stühlen,"trog-item-38
Es-co complete, de still needs review."
111,trog-item-39,trog,nan,los niños recogen las manzanas,die Jungen pflücken die Äpfel,"trog-item-39
Es-co complete, de still needs review."
112,trog-item-40,trog,nan,la niña deja caer las tazas,das Mädchen lässt die Tassen fallen,"trog-item-40
Es-co complete, de still needs review."
113,trog-item-41,trog,nan,el tenedor es más largo que el lápiz,die Gabel ist länger als der Bleistift,"trog-item-41
Es-co complete, de still needs review."
114,trog-item-42,trog,nan,la caja es más grande que la taza,die Schchtel ist größer als die Tasse,"trog-item-42
Es-co complete, de still needs review."
115,trog-item-43,trog,nan,el zapato es más grande que el pájaro,der Schuh ist größer als der Vogel,"trog-item-43
Es-co complete, de still needs review."
116,trog-item-44,trog,nan,el caballo es más alto que la pared,das Pferd ist größer als die Mauer,"trog-item-44
Es-co complete, de still needs review."
117,trog-item-45,trog,nan,la niña es perseguida por el caballo,,"trog-item-45
Es-co complete, de still needs review."
118,trog-item-46,trog,nan,el elefante es empujado por el niño,der Elefant wird von dem Jungen geschoben,"trog-item-46
Es-co complete, de still needs review."
119,trog-item-47,trog,nan,el caballo es perseguido por el hombre,das Pferd wird von dem Mann gejagt,"trog-item-47
Es-co complete, de still needs review."
120,trog-item-48,trog,nan,la vaca es empujada por el hombre,die Kuh wird von dem Mann geschoben,"trog-item-48
Es-co complete, de still needs review."
121,trog-item-49,trog,nan,la taza está en la caja,die Tasse ist in der Schachtel,"trog-item-49
Es-co complete, de still needs review."
122,trog-item-50,trog,nan,el lápiz está encima de la caja,der Bleistift ist auf der Schachtel,"trog-item-50
Es-co complete, de still needs review."
123,trog-item-51,trog,nan,el círculo está en la estrella,,"trog-item-51
Es-co complete, de still needs review."
124,trog-item-52,trog,nan,el tenedor está encima del zapato,die Gabel ist auf dem Schuh,"trog-item-52
Es-co complete, de still needs review."
125,trog-item-53,trog,nan,el niño que persigue al caballo es alto,,"trog-item-53
Es-co complete, de still needs review."
126,trog-item-54,trog,nan,el lápiz encima del zapato es azul,der Bleistift auf dem Schuh ist blau,"trog-item-54
Es-co complete, de still needs review."
127,trog-item-55,trog,nan,la vaca que persigue al gato es marrón,"die Kuh, die die Katze jagt, ist braun","trog-item-55
Es-co complete, de still needs review."
128,trog-item-56,trog,nan,el círculo en la estrella es amarillo,der Kreis im Stern ist gelb,"trog-item-56
Es-co complete, de still needs review."
129,trog-item-57,trog,nan,"la caja es roja, pero no la silla","die Schachtel, aber nicht der Stuhl ist rot","trog-item-57
Es-co complete, de still needs review."
130,trog-item-58,trog,nan,el gato es grande pero no negro,"die Katze ist groß, aber nicht schwarz","trog-item-58
Es-co complete, de still needs review."
131,trog-item-59,trog,nan,"el caballo está parado, pero no el niño","das Pferd, aber nicht der Junge, steht","trog-item-59
Es-co complete, de still needs review."
132,trog-item-60,trog,nan,"el niño está sentado, pero no está comiendo","der Junge sitzt, aber er isst nicht","trog-item-60
Es-co complete, de still needs review."
133,trog-item-61,trog,nan,el lápiz está arriba de la flor,der Bleistift ist über der Blume,"trog-item-61
Es-co complete, de still needs review."
134,trog-item-62,trog,nan,el peine está debajo de la cuchara,,"trog-item-62
Es-co complete, de still needs review."
135,trog-item-63,trog,nan,la estrella está encima del círculo,der Stern ist über dem Kreis,"trog-item-63
Es-co complete, de still needs review."
136,trog-item-64,trog,nan,el cuadrado está debajo de la estrella,,"trog-item-64
Es-co complete, de still needs review."
137,trog-item-65,trog,nan,"no sólo el pájaro, también la flor es azul.","nicht nur der Vogel, sondern auch die Blume ist blau","trog-item-65
Es-co complete, de still needs review."
138,trog-item-66,trog,nan,"la caja no sólo es grande, sino también azul","die Box ist nicht nur groß, sondern auch blau","trog-item-66
Es-co complete, de still needs review."
139,trog-item-67,trog,nan,"no sólo la niña, también el gato está sentado.","nicht nur das Mädchen, sondern auch die Katze sitzt","trog-item-67
Es-co complete, de still needs review."
140,trog-item-68,trog,nan,"la niña no solo tiene comida, sino también bebida","das Mädchen hat nicht nur Essen, sondern auch ein Getränk","trog-item-68
Es-co complete, de still needs review."
141,trog-item-69,trog,nan,el lápiz está encima del libro que es amarillo,"der Bleistift ist auf dem Buch, das gelb ist","trog-item-69
Es-co complete, de still needs review."
142,trog-item-70,trog,nan,la niña persigue al perro que es grande,"das Mädchen jagt den Hund, der groß ist","trog-item-70
Es-co complete, de still needs review."
143,trog-item-71,trog,nan,el cuadrado está en la estrella que es azul,"das Quadrat ist in dem Stern, der blau ist","trog-item-71
Es-co complete, de still needs review."
144,trog-item-72,trog,nan,el perro persigue al caballo que es marrón,"der Hund jagt das Pferd, das braun ist","trog-item-72
Es-co complete, de still needs review."
145,trog-item-73,trog,nan,ni el perro ni la pelota son marrones,weder der Hund noch der Ball sind braun,"trog-item-73
Es-co complete, de still needs review."
146,trog-item-74,trog,nan,el lápiz no es largo ni rojo,,"trog-item-74
Es-co complete, de still needs review."
147,trog-item-75,trog,nan,ni el niño ni el caballo están corriendo,,"trog-item-75
Es-co complete, de still needs review."
148,trog-item-76,trog,nan,el niño no tiene ni sombrero ni zapatos,,"trog-item-76
Es-co complete, de still needs review."
149,trog-item-77,trog,nan,"el libro, sobre el que está el lápiz, es rojo","das Buch, auf dem der Bleistift liegt, ist rot","trog-item-77
Es-co complete, de still needs review."
150,trog-item-78,trog,nan,el gato que la vaca persigue es negro,"die Katze, die die Kuh jagt, ist schwarz","trog-item-78
Es-co complete, de still needs review."
151,trog-item-79,trog,nan,"el círculo, en el que está la estrella, es rojo",,"trog-item-79
Es-co complete, de still needs review."
152,trog-item-80,trog,nan,el niño que el perro persigue es grande,"der Junge, den der Hund jagt, ist groß","trog-item-80
Es-co complete, de still needs review."
153,trog-item-81,trog,nan,"el caballo bebe agua junto al granero, y la oveja come pasto junto a la cerca",,"trog-item-81
Es-co complete, de still needs review."
154,trog-item-82,trog,nan,el estudiante abre el cuaderno y dibuja un árbol,der Schüler öffnete das Heft und zeichnete einen Baum,"trog-item-82
Es-co complete, de still needs review."
155,trog-item-83,trog,nan,"Si hace sol, haremos un picnic en el parque","Wenn es sonnig ist, werden wir im Park ein Picknick machen.","trog-item-83
Es-co complete, de still needs review."
156,trog-item-84,trog,nan,encontró sus llaves debajo del sofá con cojines,,"trog-item-84
Es-co complete, de still needs review."
157,trog-item-85,trog,nan,ella es la jardinera que usa un sombrero que tiene una flor,"sie ist die Gärtnerin, die den Hut mit einer Blume trägt","trog-item-85
Es-co complete, de still needs review."
158,trog-item-86,trog,nan,Ella tropezó con una piedra y dejo caer sus libros.,Sie stolperte über einen Stein und ließ ihre Bücher fallen.,"trog-item-86
Es-co complete, de still needs review."
159,trog-item-87,trog,nan,"La maestra dará pastel a los estudiantes, si se ponen en fila.","Der Lehrer gibt den Schülern Kuchen, wenn sie in einer Reihe stehen.","trog-item-87
Es-co complete, de still needs review."
160,trog-item-88,trog,nan,"Si hay música sonando, bailaremos todos juntos.","Wir tanzen zusammen, wenn Musik läuft.","trog-item-88
Es-co complete, de still needs review."
